member_name_original,member_name_normalized,member_name_display,party,matched,match_type,confidence,matched_candidate_name_original,matched_candidate_name_normalized,matched_candidate_name_display,election_year,election_file,notes
"Bresnahan, Robert P.",robert p bresnahan,Robert P Bresnahan,Republican,yes,fuzzy,94,"Robert Bresnahan, Jr.",robert bresnahan,Robert Bresnahan,2024,congressional_elections_2024.csv,
"Blagojevich, Rod R.",rod r blagojevich,Rod R Blagojevich,Democratic,yes,fuzzy,94,Rod Blagojevich,rod blagojevich,Rod Blagojevich,1996,congressional_elections_1996.csv,
"Machtley, Ronald K.",ronald k machtley,Ronald K Machtley,Republican,yes,fuzzy,94,Ronald Machtley,ronald machtley,Ronald Machtley,1992,congressional_elections_1992.csv,
"Bartlett, Roscoe G.",roscoe g bartlett,Roscoe G Bartlett,Republican,yes,fuzzy,94,Roscoe Bartlett,roscoe bartlett,Roscoe Bartlett,1992,congressional_elections_1992.csv,
"Plaskett, Stacey E.",stacey e plaskett,Stacey E Plaskett,Democratic,yes,fuzzy,94,Stacey Plaskett,stacey plaskett,Stacey Plaskett,2014,congressional_elections_2014.csv,
"Murphy, Stephanie N.",stephanie n murphy,Stephanie N Murphy,Democratic,yes,fuzzy,94,Stephanie Murphy,stephanie murphy,Stephanie Murphy,2016,congressional_elections_2016.csv,
"Kuykendall, Steven T.",steven t kuykendall,Steven T Kuykendall,Republican,yes,fuzzy,94,Steven Kuykendall,steven kuykendall,Steven Kuykendall,1998,congressional_elections_1998.csv,
"McCotter, Thaddeus G.",thaddeus g mccotter,Thaddeus G Mccotter,Republican,yes,fuzzy,94,Thaddeus McCotter,thaddeus mccotter,Thaddeus Mccotter,2002,congressional_elections_2002.csv,
"Foglietta, Thomas M.",thomas m foglietta,Thomas M Foglietta,Democratic,yes,fuzzy,94,Thomas Foglietta,thomas foglietta,Thomas Foglietta,1992,congressional_elections_1992.csv,
"Reynolds, Thomas M.",thomas m reynolds,Thomas M Reynolds,Republican,yes,fuzzy,94,Thomas Reynolds,thomas reynolds,Thomas Reynolds,1998,congressional_elections_1998.csv,
"Kennedy, Timothy M.",timothy m kennedy,Timothy M Kennedy,Democratic,yes,fuzzy,94,Timothy Kennedy,timothy kennedy,Timothy Kennedy,2024,congressional_elections_2024.csv,
"Foushee, Valerie P.",valerie p foushee,Valerie P Foushee,Democratic,yes,fuzzy,94,Valerie Foushee,valerie foushee,Valerie Foushee,2022,congressional_elections_2022.csv,
"McAllister, Vance M.",vance m mcallister,Vance M Mcallister,Republican,yes,fuzzy,94,"Vance McAllister, Sr.",vance mcallister,Vance Mcallister,2013,congressional_elections_2013.csv,
"Snowbarger, Vince",vince snowbarger,Vince Snowbarger,Republican,yes,fuzzy,94,Vincent Snowbarger,vincent snowbarger,Vincent Snowbarger,1996,congressional_elections_1996.csv,
"Gilchrest, Wayne T.",wayne t gilchrest,Wayne T Gilchrest,Republican,yes,fuzzy,94,Wayne Gilchrest,wayne gilchrest,Wayne Gilchrest,1992,congressional_elections_1992.csv,
"Clinger, William F., Jr.",william f clinger,William F Clinger,Republican,yes,fuzzy,94,William Clinger,william clinger,William Clinger,1992,congressional_elections_1992.csv,
"Goodling, William F.",william f goodling,William F Goodling,Republican,yes,fuzzy,94,William Goodling,william goodling,William Goodling,1992,congressional_elections_1992.csv,
"Natcher, William H.",william h natcher,William H Natcher,Democratic,yes,fuzzy,94,William Natcher,william natcher,William Natcher,1992,congressional_elections_1992.csv,
"Janklow, William J.",william j janklow,William J Janklow,Republican,yes,fuzzy,94,William Janklow,william janklow,William Janklow,2002,congressional_elections_2002.csv,
"Jefferson, William J.",william j jefferson,William J Jefferson,Democratic,yes,fuzzy,94,William Jefferson,william jefferson,William Jefferson,1996,congressional_elections_1996.csv,
"Randall, William J.",william j randall,William J Randall,Democratic,yes,fuzzy,94,William Randall,william randall,William Randall,1998,congressional_elections_1998.csv,
"Lipinski, William O.",william o lipinski,William O Lipinski,Democratic,yes,fuzzy,94,William Lipinski,william lipinski,William Lipinski,1992,congressional_elections_1992.csv,
"Timmons, William R.",william r timmons,William R Timmons,Republican,yes,fuzzy,94,William Timmons,william timmons,William Timmons,2018,congressional_elections_2018.csv,
"Ferguson, A. Drew",a drew ferguson,A Drew Ferguson,Republican,yes,fuzzy,93,Drew Ferguson,drew ferguson,Drew Ferguson,2016,congressional_elections_2016.csv,
"Mollohan, Alan B.",alan b mollohan,Alan B Mollohan,Democratic,yes,fuzzy,93,Alan Mollohan,alan mollohan,Alan Mollohan,1992,congressional_elections_1992.csv,
"Lowenthal, Alan S.",alan s lowenthal,Alan S Lowenthal,Democratic,yes,fuzzy,93,Alan Lowenthal,alan lowenthal,Alan Lowenthal,2012,congressional_elections_2012.csv,
"Hastings, Alcee L.",alcee l hastings,Alcee L Hastings,Democratic,yes,fuzzy,93,"Alcee Hastings, Sr.",alcee hastings,Alcee Hastings,1992,congressional_elections_1992.csv,
"Weiner, Anthony D.",anthony d weiner,Anthony D Weiner,Democratic,yes,fuzzy,93,Anthony Weiner,anthony weiner,Anthony Weiner,1998,congressional_elections_1998.csv,
"Brown, Anthony G.",anthony g brown,Anthony G Brown,Democratic,yes,fuzzy,93,Anthony Brown,anthony brown,Anthony Brown,2016,congressional_elections_2016.csv,
"Murphy, Austin J.",austin j murphy,Austin J Murphy,Democratic,yes,fuzzy,93,Austin Murphy,austin murphy,Austin Murphy,1992,congressional_elections_1992.csv,
"Brewster, Bill K.",bill k brewster,Bill K Brewster,Democratic,yes,fuzzy,93,Bill Brewster,bill brewster,Bill Brewster,1992,congressional_elections_1992.csv,
"Wenstrup, Brad R.",brad r wenstrup,Brad R Wenstrup,Republican,yes,fuzzy,93,Brad Wenstrup,brad wenstrup,Brad Wenstrup,2012,congressional_elections_2012.csv,
"Boyle, Brendan F.",brendan f boyle,Brendan F Boyle,Democratic,yes,fuzzy,93,Brendan Boyle,brendan boyle,Brendan Boyle,2014,congressional_elections_2014.csv,
"Bilbray, Brian P.",brian p bilbray,Brian P Bilbray,Republican,yes,fuzzy,93,Brian Bilbray,brian bilbray,Brian Bilbray,1994,congressional_elections_1994.csv,
"Bilbray, Brian P.",brian p bilbray,Brian P Bilbray,Republican,yes,fuzzy,93,Brian Bilbray,brian bilbray,Brian Bilbray,1994,congressional_elections_1994.csv,
"Derrick, Butler C.",butler c derrick,Butler C Derrick,Democratic,yes,fuzzy,93,"Butler Derrick, Jr.",butler derrick,Butler Derrick,1992,congressional_elections_1992.csv,
"Dooley, Calvin M.",calvin m dooley,Calvin M Dooley,Democratic,yes,fuzzy,93,Calvin Dooley,calvin dooley,Calvin Dooley,1992,congressional_elections_1992.csv,
"Miller, Candice S.",candice s miller,Candice S Miller,Republican,yes,fuzzy,93,Candice Miller,candice miller,Candice Miller,2002,congressional_elections_2002.csv,
"Gimenez, Carlos A.",carlos a gimenez,Carlos A Gimenez,Republican,yes,fuzzy,93,Carlos Gimenez,carlos gimenez,Carlos Gimenez,2020,congressional_elections_2020.csv,
"Wilson, Charles A.",charles a wilson,Charles A Wilson,Democratic,yes,fuzzy,93,Charles Wilson,charles wilson,Charles Wilson,1992,congressional_elections_1992.csv,
"Taylor, Charles H.",charles h taylor,Charles H Taylor,Republican,yes,fuzzy,93,Charles Taylor,charles taylor,Charles Taylor,1992,congressional_elections_1992.csv,
"Wilson, Charles H.",charles h wilson,Charles H Wilson,Democratic,yes,fuzzy,93,Charles Wilson,charles wilson,Charles Wilson,1992,congressional_elections_1992.csv,
"Canady, Charles T.",charles t canady,Charles T Canady,Republican,yes,fuzzy,93,Charles Canady,charles canady,Charles Canady,1992,congressional_elections_1992.csv,
"Rodriguez, Ciro D.",ciro d rodriguez,Ciro D Rodriguez,Democratic,yes,fuzzy,93,Ciro Rodriguez,ciro rodriguez,Ciro Rodriguez,1998,congressional_elections_1998.csv,
"Rodriguez, Ciro D.",ciro d rodriguez,Ciro D Rodriguez,Democratic,yes,fuzzy,93,Ciro Rodriguez,ciro rodriguez,Ciro Rodriguez,1998,congressional_elections_1998.csv,
"Goldman, Craig A.",craig a goldman,Craig A Goldman,Republican,yes,fuzzy,93,Craig Goldman,craig goldman,Craig Goldman,2024,congressional_elections_2024.csv,
"Lummis, Cynthia M.",cynthia m lummis,Cynthia M Lummis,Republican,yes,fuzzy,93,Cynthia Lummis,cynthia lummis,Cynthia Lummis,2008,congressional_elections_2008.csv,
"Lummis, Cynthia M.",cynthia m lummis,Cynthia M Lummis,Republican,yes,fuzzy,93,Cynthia Lummis,cynthia lummis,Cynthia Lummis,2008,congressional_elections_2008.csv,
"Inouye, Daniel K.",daniel k inouye,Daniel K Inouye,Democratic,yes,fuzzy,93,Daniel Inouye,daniel inouye,Daniel Inouye,1992,congressional_elections_1992.csv,
"Inouye, Daniel K.",daniel k inouye,Daniel K Inouye,Democratic,yes,fuzzy,93,Daniel Inouye,daniel inouye,Daniel Inouye,1992,congressional_elections_1992.csv,
"McKinley, David B.",david b mckinley,David B Mckinley,Republican,yes,fuzzy,93,David McKinley,david mckinley,David Mckinley,2010,congressional_elections_2010.csv,
"Valadao, David G.",david g valadao,David G Valadao,Republican,yes,fuzzy,93,David Valadao,david valadao,David Valadao,2012,congressional_elections_2012.csv,
"Valadao, David G.",david g valadao,David G Valadao,Republican,yes,fuzzy,93,David Valadao,david valadao,David Valadao,2012,congressional_elections_2012.csv,
"Hobson, David L.",david l hobson,David L Hobson,Republican,yes,fuzzy,93,David Lee Hobson,david lee hobson,David Lee Hobson,1992,congressional_elections_1992.csv,
"McIntosh, David M.",david m mcintosh,David M Mcintosh,Republican,yes,fuzzy,93,David McIntosh,david mcintosh,David Mcintosh,1994,congressional_elections_1994.csv,
"Ramirez, Delia C.",delia c ramirez,Delia C Ramirez,Democratic,yes,fuzzy,93,Delia Ramirez,delia ramirez,Delia Ramirez,2022,congressional_elections_2022.csv,
"Majette, Denise L.",denise l majette,Denise L Majette,Democratic,yes,fuzzy,93,Denise Majette,denise majette,Denise Majette,2002,congressional_elections_2002.csv,
"Cardoza, Dennis A.",dennis a cardoza,Dennis A Cardoza,Democratic,yes,fuzzy,93,Dennis Cardoza,dennis cardoza,Dennis Cardoza,2002,congressional_elections_2002.csv,
"Shalala, Donna E.",donna e shalala,Donna E Shalala,Democratic,yes,fuzzy,93,Donna Shalala,donna shalala,Donna Shalala,2018,congressional_elections_2018.csv,
"Edwards, Donna F.",donna f edwards,Donna F Edwards,Democratic,yes,fuzzy,93,Donna Edwards,donna edwards,Donna Edwards,2008,congressional_elections_2008.csv,
"Hunter, Duncan D.",duncan d hunter,Duncan D Hunter,Republican,yes,fuzzy,93,Duncan Hunter,duncan hunter,Duncan Hunter,1992,congressional_elections_1992.csv,
"Hilliard, Earl F.",earl f hilliard,Earl F Hilliard,Democratic,yes,fuzzy,93,"Earl Hilliard, Sr.",earl hilliard,Earl Hilliard,1992,congressional_elections_1992.csv,
"Schrock, Edward L.",edward l schrock,Edward L Schrock,Republican,yes,fuzzy,93,Edward Schrock,edward schrock,Edward Schrock,2000,congressional_elections_2000.csv,
"Kennedy, Edward M.",edward m kennedy,Edward M Kennedy,Democratic,yes,fuzzy,93,"Edward Kennedy, Sr.",edward kennedy,Edward Kennedy,1994,congressional_elections_1994.csv,
"Stefanik, Elise M.",elise m stefanik,Elise M Stefanik,Republican,yes,fuzzy,93,Elise Stefanik,elise stefanik,Elise Stefanik,2014,congressional_elections_2014.csv,
"Esty, Elizabeth H.",elizabeth h esty,Elizabeth H Esty,Democratic,yes,fuzzy,93,Elizabeth Esty,elizabeth esty,Elizabeth Esty,2012,congressional_elections_2012.csv,
"Tauscher, Ellen O.",ellen o tauscher,Ellen O Tauscher,Democratic,yes,fuzzy,93,Ellen Tauscher,ellen tauscher,Ellen Tauscher,1996,congressional_elections_1996.csv,
"Fingerhut, Eric D.",eric d fingerhut,Eric D Fingerhut,Democratic,yes,fuzzy,93,Eric Fingerhut,eric fingerhut,Eric Fingerhut,2004,congressional_elections_2004.csv,
"Istook, Ernest J., Jr.",ernest j istook,Ernest J Istook,Republican,yes,fuzzy,93,"Ernest Istook, Jr.",ernest istook,Ernest Istook,1992,congressional_elections_1992.csv,
"LoBiondo, Frank A.",frank a lobiondo,Frank A Lobiondo,Republican,yes,fuzzy,93,Frank LoBiondo,frank lobiondo,Frank Lobiondo,1992,congressional_elections_1992.csv,
"Ballance, Frank W., Jr.",frank w ballance,Frank W Ballance,Democratic,yes,fuzzy,93,"Frank Ballance, Jr.",frank ballance,Frank Ballance,2002,congressional_elections_2002.csv,
"Ackerman, Gary L.",gary l ackerman,Gary L Ackerman,Democratic,yes,fuzzy,93,Gary Ackerman,gary ackerman,Gary Ackerman,1992,congressional_elections_1992.csv,
"O'Brien, George M.",george m obrien,George M Obrien,Republican,yes,fuzzy,93,George O'Brien,george obrien,George Obrien,1992,congressional_elections_1992.csv,
"Kleczka, Gerald D.",gerald d kleczka,Gerald D Kleczka,Democratic,yes,fuzzy,93,Gerald Kleczka,gerald kleczka,Gerald Kleczka,1992,congressional_elections_1992.csv,
"Sikorski, Gerry E.",gerry e sikorski,Gerry E Sikorski,Democratic,yes,fuzzy,93,Gerry Sikorski,gerry sikorski,Gerry Sikorski,1992,congressional_elections_1992.csv,
"Meeks, Gregory W.",gregory w meeks,Gregory W Meeks,Democratic,yes,fuzzy,93,Gregory Meeks,gregory meeks,Gregory Meeks,1998,congressional_elections_1998.csv,
"Bilirakis, Gus M.",gus m bilirakis,Gus M Bilirakis,Republican,yes,fuzzy,93,Gus Bilirakis,gus bilirakis,Gus Bilirakis,2006,congressional_elections_2006.csv,
"Stevens, Haley M.",haley m stevens,Haley M Stevens,Democratic,yes,fuzzy,93,Haley Stevens,haley stevens,Haley Stevens,2018,congressional_elections_2018.csv,
"Volkmer, Harold L.",harold l volkmer,Harold L Volkmer,Democratic,yes,fuzzy,93,Harold Volkmer,harold volkmer,Harold Volkmer,1992,congressional_elections_1992.csv,
"Johnson, Harold T.",harold t johnson,Harold T Johnson,Democratic,yes,fuzzy,93,Harold Johnson,harold johnson,Harold Johnson,2010,congressional_elections_2010.csv,
"Fawell, Harris W.",harris w fawell,Harris W Fawell,Republican,yes,fuzzy,93,Harris Fawell,harris fawell,Harris Fawell,1992,congressional_elections_1992.csv,
"Mitchell, Harry E.",harry e mitchell,Harry E Mitchell,Democratic,yes,fuzzy,93,Harry Mitchell,harry mitchell,Harry Mitchell,2006,congressional_elections_2006.csv,
"Gonzalez, Henry B.",henry b gonzalez,Henry B Gonzalez,Democratic,yes,fuzzy,93,Henry Gonzalez,henry gonzalez,Henry Gonzalez,1992,congressional_elections_1992.csv,
"Klein, Herbert C.",herbert c klein,Herbert C Klein,Democratic,yes,fuzzy,93,Herbert Klein,herbert klein,Herbert Klein,1992,congressional_elections_1992.csv,
"Berman, Howard L.",howard l berman,Howard L Berman,Democratic,yes,fuzzy,93,Howard Berman,howard berman,Howard Berman,1992,congressional_elections_1992.csv,
"Longley, James B., Jr.",james b longley,James B Longley,Republican,yes,fuzzy,93,"James Longley, Jr.",james longley,James Longley,1994,congressional_elections_1994.csv,
"Bilbray, James H.",james h bilbray,James H Bilbray,Democratic,yes,fuzzy,93,James Bilbray,james bilbray,James Bilbray,1992,congressional_elections_1992.csv,
"Maloney, James H.",james h maloney,James H Maloney,Democratic,yes,fuzzy,93,James Maloney,james maloney,James Maloney,1994,congressional_elections_1994.csv,
"Whitten, Jamie L.",jamie l whitten,Jamie L Whitten,Democratic,yes,fuzzy,93,Jamie Whitten,jamie whitten,Jamie Whitten,1992,congressional_elections_1992.csv,
"Whitten, Jamie L.",jamie l whitten,Jamie L Whitten,Democratic,yes,fuzzy,93,Jamie Whitten,jamie whitten,Jamie Whitten,1992,congressional_elections_1992.csv,
"Bynum, Janelle S.",janelle s bynum,Janelle S Bynum,Democratic,yes,fuzzy,93,Janelle Bynum,janelle bynum,Janelle Bynum,2024,congressional_elections_2024.csv,
"Costello, Jerry F.",jerry f costello,Jerry F Costello,Democratic,yes,fuzzy,93,Jerry Costello,jerry costello,Jerry Costello,1992,congressional_elections_1992.csv,
"Jackson, Jesse L., Jr.",jesse l jackson,Jesse L Jackson,Democratic,yes,fuzzy,93,"Jesse Jackson, Jr.",jesse jackson,Jesse Jackson,1996,congressional_elections_1996.csv,
"Boccieri, John A.",john a boccieri,John A Boccieri,Democratic,yes,fuzzy,93,John Boccieri,john boccieri,John Boccieri,2008,congressional_elections_2008.csv,
"Anderson, John B.",john b anderson,John B Anderson,Republican,yes,fuzzy,93,John Anderson,john anderson,John Anderson,2010,congressional_elections_2010.csv,
"Peterson, John E.",john e peterson,John E Peterson,Republican,yes,fuzzy,93,John Peterson,john peterson,John Peterson,1996,congressional_elections_1996.csv,
"Sarbanes, John P.",john p sarbanes,John P Sarbanes,Democratic,yes,fuzzy,93,John Sarbanes,john sarbanes,John Sarbanes,2006,congressional_elections_2006.csv,
"Moolenaar, John R.",john r moolenaar,John R Moolenaar,Republican,yes,fuzzy,93,John Moolenaar,john moolenaar,John Moolenaar,2014,congressional_elections_2014.csv,
"Doolittle, John T.",john t doolittle,John T Doolittle,Republican,yes,fuzzy,93,John Doolittle,john doolittle,John Doolittle,1992,congressional_elections_1992.csv,
"Olszewski, Johnny",johnny olszewski,Johnny Olszewski,Democratic,yes,fuzzy,93,"John Olszewski, Jr.",john olszewski,John Olszewski,2024,congressional_elections_2024.csv,
"Brennan, Joseph E.",joseph e brennan,Joseph E Brennan,Democratic,yes,fuzzy,93,Joseph Brennan,joseph brennan,Joseph Brennan,1996,congressional_elections_1996.csv,
"Hoeffel, Joseph M.",joseph m hoeffel,Joseph M Hoeffel,Democratic,yes,fuzzy,93,Joseph Hoeffel,joseph hoeffel,Joseph Hoeffel,1996,congressional_elections_1996.csv,
"McDade, Joseph M.",joseph m mcdade,Joseph M Mcdade,Republican,yes,fuzzy,93,Joseph McDade,joseph mcdade,Joseph Mcdade,1992,congressional_elections_1992.csv,
"Kennedy, Joseph P., II",joseph p kennedy,Joseph P Kennedy,Democratic,yes,fuzzy,93,Joseph Kennedy II,joseph kennedy,Joseph Kennedy,1992,congressional_elections_1992.csv,
"Kennedy, Joseph P., III",joseph p kennedy,Joseph P Kennedy,Democratic,yes,fuzzy,93,Joseph Kennedy II,joseph kennedy,Joseph Kennedy,1992,congressional_elections_1992.csv,
"Harris, Kamala D.",kamala d harris,Kamala D Harris,Democratic,yes,fuzzy,93,Kamala Harris,kamala harris,Kamala Harris,2016,congressional_elections_2016.csv,
"Thurman, Karen L.",karen l thurman,Karen L Thurman,Democratic,yes,fuzzy,93,Karen Thurman,karen thurman,Karen Thurman,1992,congressional_elections_1992.csv,
"Rice, Kathleen M.",kathleen m rice,Kathleen M Rice,Democratic,yes,fuzzy,93,Kathleen Rice,kathleen rice,Kathleen Rice,2014,congressional_elections_2014.csv,
"Manning, Kathy E.",kathy e manning,Kathy E Manning,Democratic,yes,fuzzy,93,Kathy Manning,kathy manning,Kathy Manning,2018,congressional_elections_2018.csv,
"Rothfus, Keith J.",keith j rothfus,Keith J Rothfus,Republican,yes,fuzzy,93,Keith Rothfus,keith rothfus,Keith Rothfus,2010,congressional_elections_2010.csv,
"Meek, Kendrick B.",kendrick b meek,Kendrick B Meek,Democratic,yes,fuzzy,93,"Kendrick Meek, Sr.",kendrick meek,Kendrick Meek,2002,congressional_elections_2002.csv,
"Hulshof, Kenny C.",kenny c hulshof,Kenny C Hulshof,Republican,yes,fuzzy,93,Kenny Hulshof,kenny hulshof,Kenny Hulshof,1994,congressional_elections_1994.csv,
"Hogan, Lawrence J.",lawrence j hogan,Lawrence J Hogan,Republican,yes,fuzzy,93,"Lawrence Hogan, Jr.",lawrence hogan,Lawrence Hogan,1992,congressional_elections_1992.csv,
"Sánchez, Linda T.",linda t sánchez,Linda T Sánchez,Democratic,yes,fuzzy,93,Linda Sánchez,linda sánchez,Linda Sánchez,2002,congressional_elections_2002.csv,
"Meehan, Martin T.",martin t meehan,Martin T Meehan,Democratic,yes,fuzzy,93,Martin Meehan,martin meehan,Martin Meehan,1992,congressional_elections_1992.csv,
"Landrieu, Mary L.",mary l landrieu,Mary L Landrieu,Democratic,yes,fuzzy,93,Mary Landrieu,mary landrieu,Mary Landrieu,1996,congressional_elections_1996.csv,
"Arcuri, Michael A.",michael a arcuri,Michael A Arcuri,Democratic,yes,fuzzy,93,Michael Arcuri,michael arcuri,Michael Arcuri,2006,congressional_elections_2006.csv,
"Rulli, Michael A.",michael a rulli,Michael A Rulli,Republican,yes,fuzzy,93,Michael Rulli,michael rulli,Michael Rulli,2024,congressional_elections_2024.csv,
"Bennet, Michael F.",michael f bennet,Michael F Bennet,Democratic,yes,fuzzy,93,Michael Bennet,michael bennet,Michael Bennet,2010,congressional_elections_2010.csv,
"Grimm, Michael G.",michael g grimm,Michael G Grimm,Republican,yes,fuzzy,93,Michael Grimm,michael grimm,Michael Grimm,2010,congressional_elections_2010.csv,
"Oxley, Michael G.",michael g oxley,Michael G Oxley,Republican,yes,fuzzy,93,Michael Oxley,michael oxley,Michael Oxley,1992,congressional_elections_1992.csv,
"Myers, Michael O.",michael o myers,Michael O Myers,Democratic,yes,fuzzy,93,Michael Myers,michael myers,Michael Myers,1998,congressional_elections_1998.csv,
"McCaul, Michael T.",michael t mccaul,Michael T Mccaul,Republican,yes,fuzzy,93,Michael McCaul,michael mccaul,Michael Mccaul,2004,congressional_elections_2004.csv,
"Johnson, Nancy L.",nancy l johnson,Nancy L Johnson,Republican,yes,fuzzy,93,Nancy Johnson,nancy johnson,Nancy Johnson,1992,congressional_elections_1992.csv,
"Mineta, Norman Y.",norman y mineta,Norman Y Mineta,Democratic,yes,fuzzy,93,Norman Mineta,norman mineta,Norman Mineta,1992,congressional_elections_1992.csv,
"Snowe, Olympia J.",olympia j snowe,Olympia J Snowe,Republican,yes,fuzzy,93,Olympia Snowe,olympia snowe,Olympia Snowe,1992,congressional_elections_1992.csv,
"Snowe, Olympia J.",olympia j snowe,Olympia J Snowe,Republican,yes,fuzzy,93,Olympia Snowe,olympia snowe,Olympia Snowe,1992,congressional_elections_1992.csv,
"Leahy, Patrick J.",patrick j leahy,Patrick J Leahy,Democratic,yes,fuzzy,93,Patrick Leahy,patrick leahy,Patrick Leahy,1992,congressional_elections_1992.csv,
"Murphy, Patrick J.",patrick j murphy,Patrick J Murphy,Democratic,yes,fuzzy,93,Patrick Murphy,patrick murphy,Patrick Murphy,2006,congressional_elections_2006.csv,
"Wellstone, Paul D.",paul d wellstone,Paul D Wellstone,Democratic,yes,fuzzy,93,Paul Wellstone,paul wellstone,Paul Wellstone,1996,congressional_elections_1996.csv,
"Kanjorski, Paul E.",paul e kanjorski,Paul E Kanjorski,Democratic,yes,fuzzy,93,Paul Kanjorski,paul kanjorski,Paul Kanjorski,1992,congressional_elections_1992.csv,
"Sarbanes, Paul S.",paul s sarbanes,Paul S Sarbanes,Democratic,yes,fuzzy,93,Paul Sarbanes,paul sarbanes,Paul Sarbanes,1994,congressional_elections_1994.csv,
"Sarbanes, Paul S.",paul s sarbanes,Paul S Sarbanes,Democratic,yes,fuzzy,93,Paul Sarbanes,paul sarbanes,Paul Sarbanes,1994,congressional_elections_1994.csv,
"DeFazio, Peter A.",peter a defazio,Peter A Defazio,Democratic,yes,fuzzy,93,Peter DeFazio,peter defazio,Peter Defazio,1992,congressional_elections_1992.csv,
"Ellmers, Renee L.",renee l ellmers,Renee L Ellmers,Republican,yes,fuzzy,93,Renee Ellmers,renee ellmers,Renee Ellmers,2010,congressional_elections_2010.csv,
"Shelby, Richard C.",richard c shelby,Richard C Shelby,Republican,yes,fuzzy,93,Richard Shelby,richard shelby,Richard Shelby,1992,congressional_elections_1992.csv,
"Shelby, Richard C.",richard c shelby,Richard C Shelby,Republican,yes,fuzzy,93,Richard Shelby,richard shelby,Richard Shelby,1992,congressional_elections_1992.csv,
"Baker, Richard H.",richard h baker,Richard H Baker,Republican,yes,fuzzy,93,"Richard Baker, Jr.",richard baker,Richard Baker,2008,congressional_elections_2008.csv,
"Bryan, Richard H.",richard h bryan,Richard H Bryan,Democratic,yes,fuzzy,93,Richard Bryan,richard bryan,Richard Bryan,1994,congressional_elections_1994.csv,
"Lehman, Richard H.",richard h lehman,Richard H Lehman,Democratic,yes,fuzzy,93,Richard Lehman,richard lehman,Richard Lehman,1992,congressional_elections_1992.csv,
"Armey, Richard K.",richard k armey,Richard K Armey,Republican,yes,fuzzy,93,Richard Armey,richard armey,Richard Armey,1992,congressional_elections_1992.csv,
"Hanna, Richard L.",richard l hanna,Richard L Hanna,Republican,yes,fuzzy,93,Richard Hanna,richard hanna,Richard Hanna,2008,congressional_elections_2008.csv,
"Hanna, Richard T.",richard t hanna,Richard T Hanna,Democratic,yes,fuzzy,93,Richard Hanna,richard hanna,Richard Hanna,2008,congressional_elections_2008.csv,
"Pombo, Richard W.",richard w pombo,Richard W Pombo,Republican,yes,fuzzy,93,Richard Pombo,richard pombo,Richard Pombo,1992,congressional_elections_1992.csv,
"Borski, Robert A.",robert a borski,Robert A Borski,Democratic,yes,fuzzy,93,"Robert Borski, Jr.",robert borski,Robert Borski,1992,congressional_elections_1992.csv,
"Morgan, Robert B.",robert b morgan,Robert B Morgan,Democratic,yes,fuzzy,93,Robert Morgan,robert morgan,Robert Morgan,1992,congressional_elections_1992.csv,
"Wilson, Robert C.",robert c wilson,Robert C Wilson,Republican,yes,fuzzy,93,"Robert Wilson, Jr.",robert wilson,Robert Wilson,1996,congressional_elections_1996.csv,
"Michel, Robert H.",robert h michel,Robert H Michel,Republican,yes,fuzzy,93,Robert Michel,robert michel,Robert Michel,1992,congressional_elections_1992.csv,
"Dornan, Robert K.",robert k dornan,Robert K Dornan,Republican,yes,fuzzy,93,Robert Dornan,robert dornan,Robert Dornan,1992,congressional_elections_1992.csv,
"Dornan, Robert K.",robert k dornan,Robert K Dornan,Republican,yes,fuzzy,93,Robert Dornan,robert dornan,Robert Dornan,1992,congressional_elections_1992.csv,
"Walker, Robert S.",robert s walker,Robert S Walker,Republican,yes,fuzzy,93,Robert Walker,robert walker,Robert Walker,1992,congressional_elections_1992.csv,
"Matsui, Robert T.",robert t matsui,Robert T Matsui,Democratic,yes,fuzzy,93,Robert Matsui,robert matsui,Robert Matsui,1992,congressional_elections_1992.csv,
"Mazzoli, Romano L.",romano l mazzoli,Romano L Mazzoli,Democratic,yes,fuzzy,93,Romano Mazzoli,romano mazzoli,Romano Mazzoli,1992,congressional_elections_1992.csv,
"Coleman, Ronald D.",ronald d coleman,Ronald D Coleman,Democratic,yes,fuzzy,93,Ronald Coleman,ronald coleman,Ronald Coleman,1992,congressional_elections_1992.csv,
"Hinojosa, Ruben",ruben hinojosa,Ruben Hinojosa,Democratic,yes,fuzzy,93,"Rubén Hinojosa, Sr.",rubén hinojosa,Rubén Hinojosa,1996,congressional_elections_1996.csv,
"Costello, Ryan A.",ryan a costello,Ryan A Costello,Republican,yes,fuzzy,93,Ryan Costello,ryan costello,Ryan Costello,2014,congressional_elections_2014.csv,
"Carbajal, Salud O.",salud o carbajal,Salud O Carbajal,Democratic,yes,fuzzy,93,Salud Carbajal,salud carbajal,Salud Carbajal,2016,congressional_elections_2016.csv,
"Bishop, Sanford D.",sanford d bishop,Sanford D Bishop,Democratic,yes,fuzzy,93,"Sanford Bishop, Jr.",sanford bishop,Sanford Bishop,1992,congressional_elections_1992.csv,
"Brown, Shontel M.",shontel m brown,Shontel M Brown,Democratic,yes,fuzzy,93,Shontel Brown,shontel brown,Shontel Brown,2021,congressional_elections_2021.csv,
"Ortiz, Solomon P.",solomon p ortiz,Solomon P Ortiz,Democratic,yes,fuzzy,93,"Solomon Ortiz, Sr.",solomon ortiz,Solomon Ortiz,1992,congressional_elections_1992.csv,
